                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4304,                 3.0581,                 1.6012,                0.57535,                0.42639,                0.46117,                0.29876,                 1.4061,                 2.3565,                 1.5316,             0.00025332,             0.00025332,             0.00025332
                      2,                 1.3855,                 2.1474,                 1.5553,                0.50131,                 0.4555,                0.44345,                0.25938,                  1.541,                 2.5433,                 1.6868,             0.00049704,             0.00049704,             0.00049704
                      3,                 1.4106,                  1.993,                 1.5739,                0.49706,                0.51913,                0.46431,                0.26081,                 1.5961,                 2.2992,                 1.7458,             0.00072807,             0.00072807,             0.00072807
                      4,                  1.418,                 1.8436,                 1.5754,                0.72378,                0.38291,                0.43839,                0.26821,                 1.5648,                 3.7037,                 1.8157,              0.0007119,              0.0007119,              0.0007119
                      5,                  1.372,                 1.6739,                  1.549,                 0.6032,                0.53747,                0.53349,                0.32959,                 1.5656,                 1.7441,                 1.7418,              0.0007119,              0.0007119,              0.0007119
                      6,                 1.3565,                 1.5634,                 1.5363,                0.56879,                0.53076,                0.54674,                0.33416,                 1.5885,                 1.9971,                 1.6875,             0.00069287,             0.00069287,             0.00069287
                      7,                 1.3231,                 1.4748,                 1.5027,                0.67999,                0.50261,                0.58244,                0.36962,                 1.4378,                 1.7072,                 1.5738,             0.00067384,             0.00067384,             0.00067384
                      8,                  1.297,                 1.4115,                  1.487,                0.70864,                0.65412,                0.70465,                  0.444,                 1.3698,                 1.3184,                 1.5005,              0.0006548,              0.0006548,              0.0006548
                      9,                 1.2725,                 1.3479,                 1.4623,                0.70047,                0.63257,                0.67639,                0.42513,                 1.3491,                 1.3806,                 1.4839,             0.00063577,             0.00063577,             0.00063577
                     10,                 1.2498,                 1.2876,                 1.4439,                 0.7298,                 0.6324,                0.68852,                0.42762,                 1.3556,                 1.3702,                 1.4566,             0.00061674,             0.00061674,             0.00061674
                     11,                 1.2323,                 1.2493,                 1.4396,                0.77651,                0.62233,                0.71689,                0.45445,                 1.3354,                 1.2194,                 1.4591,             0.00059771,             0.00059771,             0.00059771
                     12,                 1.2048,                 1.1863,                 1.4065,                  0.746,                0.70834,                0.75241,                0.48966,                  1.259,                 1.2167,                 1.4317,             0.00057867,             0.00057867,             0.00057867
                     13,                 1.2059,                 1.1653,                 1.4067,                0.76744,                0.66757,                0.72536,                0.45636,                 1.3348,                 1.1992,                   1.46,             0.00055964,             0.00055964,             0.00055964
                     14,                 1.1902,                 1.1431,                 1.3978,                0.75549,                0.68481,                0.74808,                0.48269,                 1.2916,                 1.1961,                 1.4692,             0.00054061,             0.00054061,             0.00054061
                     15,                 1.1632,                 1.1127,                 1.3845,                0.75889,                0.68279,                0.73912,                0.46023,                 1.3197,                 1.1917,                 1.4679,             0.00052157,             0.00052157,             0.00052157
                     16,                 1.1524,                 1.0963,                 1.3721,                0.80288,                0.70658,                0.77226,                0.48413,                 1.2887,                 1.0825,                 1.4221,             0.00050254,             0.00050254,             0.00050254
                     17,                 1.1389,                 1.0547,                 1.3574,                0.74257,                0.64615,                 0.7024,                0.46162,                 1.3343,                 1.2973,                 1.4867,             0.00048351,             0.00048351,             0.00048351
                     18,                 1.1237,                 1.0386,                 1.3591,                 0.7798,                0.75591,                 0.7847,                0.51435,                 1.2428,                 1.0103,                 1.3929,             0.00046448,             0.00046448,             0.00046448
                     19,                 1.1127,                 1.0144,                 1.3375,                0.78756,                0.70852,                0.76947,                 0.5167,                 1.2411,                 1.0966,                 1.4049,             0.00044544,             0.00044544,             0.00044544
                     20,                 1.1005,                0.99549,                 1.3359,                0.80004,                0.74234,                0.79373,                0.53105,                 1.2162,                0.99571,                 1.3517,             0.00042641,             0.00042641,             0.00042641
                     21,                 1.1044,                0.98617,                 1.3284,                0.83614,                0.71575,                0.79069,                0.54126,                 1.2065,                 1.0235,                  1.365,             0.00040738,             0.00040738,             0.00040738
                     22,                 1.0853,                0.96243,                 1.3184,                0.79055,                 0.7628,                0.79497,                0.52643,                 1.2101,                  1.013,                 1.3442,             0.00038835,             0.00038835,             0.00038835
                     23,                 1.0631,                0.92356,                 1.3015,                0.84398,                0.73718,                0.80681,                0.54858,                 1.1808,                0.93956,                 1.3442,             0.00036931,             0.00036931,             0.00036931
                     24,                 1.0575,                0.92086,                 1.3002,                0.82065,                 0.7475,                0.81088,                0.55843,                 1.1652,                0.94489,                 1.3267,             0.00035028,             0.00035028,             0.00035028
                     25,                 1.0464,                0.91062,                 1.2918,                0.85301,                0.73009,                0.79208,                0.54285,                 1.1696,                0.97104,                 1.3363,             0.00033125,             0.00033125,             0.00033125
                     26,                 1.0481,                0.91206,                 1.2927,                 0.8433,                0.73626,                0.80475,                0.54307,                 1.1765,                 0.9206,                 1.3231,             0.00031221,             0.00031221,             0.00031221
                     27,                 1.0299,                0.86977,                 1.2755,                0.82924,                 0.7266,                0.79563,                0.54727,                 1.1578,                0.95293,                 1.3172,             0.00029318,             0.00029318,             0.00029318
                     28,                 1.0249,                0.86011,                 1.2726,                0.82318,                0.73542,                0.80375,                 0.5464,                 1.1839,                0.94838,                 1.3319,             0.00027415,             0.00027415,             0.00027415
                     29,                 1.0036,                0.84446,                 1.2611,                0.85902,                0.70068,                0.78877,                0.53838,                 1.1846,                0.96034,                 1.3418,             0.00025512,             0.00025512,             0.00025512
                     30,                0.99938,                0.82096,                 1.2578,                0.85863,                0.75144,                0.82295,                0.56931,                 1.1592,                0.87366,                 1.3228,             0.00023608,             0.00023608,             0.00023608
