                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2534,                 2.9709,                 1.3129,                0.50211,                0.35506,                0.37696,                0.23758,                 1.4096,                 2.5393,                 1.4458,             0.00022037,             0.00022037,             0.00022037
                      2,                 1.3151,                  2.205,                 1.3714,                 0.4553,                0.39732,                0.35872,                0.20181,                 1.5182,                 2.3134,                 1.5193,             0.00043296,             0.00043296,             0.00043296
                      3,                 1.3744,                 2.1396,                 1.4073,                0.44787,                0.31262,                 0.3277,                0.17272,                  1.656,                 2.3537,                 1.6632,             0.00063577,             0.00063577,             0.00063577
                      4,                 1.3606,                 2.0575,                 1.4092,                0.38163,                0.38388,                0.34186,                0.18275,                 1.5915,                 2.1874,                 1.6082,             0.00062298,             0.00062298,             0.00062298
                      5,                  1.342,                 2.0295,                 1.4043,                0.40131,                0.38633,                0.33113,                0.17663,                 1.6435,                 2.2719,                 1.6508,             0.00062298,             0.00062298,             0.00062298
                      6,                 1.3418,                 2.0032,                  1.412,                0.46375,                0.41252,                0.39771,                0.21824,                 1.5864,                 2.1143,                 1.6378,              0.0006083,              0.0006083,              0.0006083
                      7,                 1.3079,                 1.9392,                  1.384,                0.49162,                0.39178,                0.39441,                0.22651,                  1.553,                 2.0773,                  1.592,             0.00059363,             0.00059363,             0.00059363
                      8,                 1.2984,                 1.8939,                 1.3714,                0.47419,                0.40822,                0.38679,                0.21538,                  1.562,                 1.9343,                 1.5635,             0.00057896,             0.00057896,             0.00057896
                      9,                 1.2828,                 1.8612,                 1.3503,                0.46705,                0.41487,                0.39709,                0.22945,                 1.5402,                 2.1114,                 1.5732,             0.00056428,             0.00056428,             0.00056428
                     10,                 1.2685,                 1.7802,                 1.3571,                0.49446,                0.42134,                 0.4235,                0.24446,                 1.5501,                 1.9053,                 1.5691,             0.00054961,             0.00054961,             0.00054961
                     11,                 1.2639,                 1.7384,                 1.3453,                0.49671,                0.44814,                0.43257,                0.25846,                 1.5139,                  1.936,                 1.5511,             0.00053493,             0.00053493,             0.00053493
                     12,                   1.23,                 1.6999,                 1.3214,                0.51941,                0.45741,                0.44036,                0.26168,                 1.4887,                 1.8724,                 1.5575,             0.00052026,             0.00052026,             0.00052026
                     13,                 1.2303,                 1.6653,                 1.3248,                0.49104,                0.45566,                0.42693,                0.25115,                 1.5284,                  1.854,                 1.5383,             0.00050559,             0.00050559,             0.00050559
                     14,                 1.2127,                 1.5971,                 1.3064,                0.53043,                0.44014,                0.45288,                0.26684,                 1.4913,                 1.8062,                 1.5487,             0.00049091,             0.00049091,             0.00049091
                     15,                 1.2268,                 1.5984,                  1.309,                0.55465,                0.45295,                0.46494,                0.27622,                 1.5042,                 1.7375,                 1.5367,             0.00047624,             0.00047624,             0.00047624
