                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86445,                 1.8876,                 1.3984,                0.40651,                0.24739,                0.26288,                0.06116,                 2.4113,                 3.7736,                 3.0228,                0.00064,                0.00064,                0.00064
                      2,                0.87136,                 1.3942,                  1.373,                0.21208,                0.63889,                0.18903,                 0.0743,                 1.7879,                 3.2278,                 2.7256,              0.0012357,              0.0012357,              0.0012357
                      3,                0.91201,                  1.264,                 1.4046,                0.33741,                  0.375,                0.27344,                0.12691,                 2.4853,                 3.8422,                 3.2063,               0.001766,               0.001766,               0.001766
                      4,                0.94516,                 1.1736,                 1.4211,                  0.632,                0.15278,                0.18219,                0.06404,                  3.208,                 4.5245,                 3.8117,               0.001703,               0.001703,               0.001703
                      5,                0.94738,                 1.1585,                 1.4195,                0.21773,                0.08333,                0.06357,                0.02667,                 2.9497,                 3.3448,                 3.2186,               0.001703,               0.001703,               0.001703
                      6,                0.88503,                 1.0635,                 1.3877,                0.42201,                0.33333,                0.31725,                0.14686,                 2.0693,                 2.3928,                 2.4459,               0.001604,               0.001604,               0.001604
                      7,                0.79216,                0.91205,                  1.313,                0.71792,                0.70697,                0.70059,                0.45384,                 1.1551,                 1.7044,                 1.8848,               0.001505,               0.001505,               0.001505
                      8,                0.83581,                0.96071,                 1.3531,                0.61778,                0.44444,                0.49708,                0.25368,                 1.6782,                 2.0879,                 2.2055,               0.001406,               0.001406,               0.001406
                      9,                0.81438,                0.92151,                 1.3275,                0.63021,                0.58333,                0.56929,                0.31194,                 1.4988,                 2.0431,                  1.809,               0.001307,               0.001307,               0.001307
                     10,                0.79379,                0.85795,                 1.3186,                0.76935,                 0.7876,                0.84964,                0.46065,                 1.2503,                 1.5258,                 1.8012,               0.001208,               0.001208,               0.001208
                     11,                0.86989,                 1.4838,                 1.5224,                0.70922,                0.71141,                0.72595,                0.43743,                 1.3669,                 1.5167,                 2.0315,               0.001109,               0.001109,               0.001109
                     12,                0.86758,                 1.1938,                 1.5438,                0.72656,                0.81944,                0.83225,                0.52134,                  1.198,                 1.4657,                 1.7879,                0.00101,                0.00101,                0.00101
                     13,                0.84263,                 1.0787,                 1.5078,                0.67346,                   0.75,                0.76509,                 0.4994,                  1.111,                 1.4259,                 1.6057,               0.000911,               0.000911,               0.000911
                     14,                0.75816,                0.93791,                  1.409,                0.80079,                0.79167,                0.85439,                 0.6143,                0.92792,                 1.1371,                 1.4696,               0.000812,               0.000812,               0.000812
                     15,                  0.751,                0.91716,                 1.4274,                0.74317,                0.86111,                0.83453,                0.64547,                0.82868,                 1.0663,                 1.3228,               0.000713,               0.000713,               0.000713
                     16,                 0.7139,                0.87865,                 1.3345,                0.86425,                0.88889,                0.89839,                0.67418,                0.80775,                0.95644,                 1.3597,               0.000614,               0.000614,               0.000614
                     17,                0.64749,                0.78619,                 1.3245,                0.71702,                0.73906,                0.79194,                0.52495,                 1.0595,                 1.2794,                  1.482,               0.000515,               0.000515,               0.000515
                     18,                0.62192,                0.72463,                 1.2819,                0.91967,                0.79167,                0.87828,                0.64694,                0.91756,                 1.0252,                 1.4284,               0.000416,               0.000416,               0.000416
                     19,                0.58098,                0.65816,                 1.2676,                0.81474,                0.84722,                0.88235,                0.68789,                0.75029,                0.98576,                 1.2011,               0.000317,               0.000317,               0.000317
                     20,                0.58011,                0.68932,                 1.2301,                0.89824,                0.85826,                0.90805,                0.71275,                0.76895,                 0.8912,                 1.1929,               0.000218,               0.000218,               0.000218
